MovieID,MovieName,Vector
51,Legends of the Fall,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0.6141975308641975, 0.4109797087298281, 0.13745704467353953]"
52,"Madness of King George, The","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6923076923076923, 0.3209228146945195, 0.15463917525773196]"
53,Natural Born Killers,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.48828125, 0.46925006135187664, 0.218213058419244]"
54,Outbreak,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5600961538461539, 0.29351895916210025, 0.17697594501718214]"
55,"Professional, The","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.0, 0.6761744966442953, 0.3594838541479588, 0.2542955326460481]"
56,Pulp Fiction,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.765228426395939, 0.40689746157009277, 0.6752577319587629]"
57,Priest,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.75, 0.40824829046386285, 0.06701030927835053]"
58,Quiz Show,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6614285714285715, 0.29608834611107443, 0.29896907216494845]"
59,Three Colors: Red,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7650602409638554, 0.35932438971462105, 0.140893470790378]"
60,Three Colors: Blue,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.75390625, 0.3752892403052462, 0.10824742268041238]"
61,Three Colors: White,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7161016949152542, 0.3440230239804281, 0.09965635738831616]"
62,Stargate,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.5354330708661418, 0.3583593829092312, 0.21649484536082475]"
63,"Santa Clause, The","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.524390243902439, 0.3361444248759575, 0.13917525773195877]"
64,"Shawshank Redemption, The","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.8613074204946995, 0.2711783618433358, 0.4845360824742268]"
65,What's Eating Gilbert Grape,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6347826086956522, 0.3386212904368938, 0.1958762886597938]"
66,While You Were Sleeping,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6373456790123457, 0.3298137747081994, 0.2766323024054983]"
67,Ace Ventura: Pet Detective,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5121359223300971, 0.4298273729430515, 0.1752577319587629]"
68,"Crow, The","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.0, 0.6044776119402985, 0.3933146864776789, 0.22852233676975944]"
69,Forrest Gump,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.0, 0.7133956386292835, 0.3802334706622209, 0.5498281786941581]"
70,Four Weddings and a Funeral,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6653386454183267, 0.3148135475501579, 0.42955326460481097]"
71,"Lion King, The","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.6954545454545454, 0.34582248653887726, 0.37628865979381443]"
72,"Mask, The","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5484496124031008, 0.3482027499012029, 0.21993127147766323]"
73,Maverick,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0.6171875, 0.3007127360227683, 0.218213058419244]"
74,Faster Pussycat! Kill! Kill!,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5, 0.5, 0.010309278350515462]"
75,Brother Minister: The Assassination of Malcolm X,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5, 0.5, 0.006872852233676977]"
76,Carlito's Way,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6018518518518519, 0.3034278885961498, 0.09106529209621994]"
77,"Firm, The","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5695364238410596, 0.3370433710898124, 0.2577319587628866]"
78,Free Willy,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.36363636363636365, 0.3961820632900072, 0.054982817869415807]"
79,"Fugitive, The","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.7611607142857142, 0.28411315090293077, 0.5756013745704467]"
80,Hot Shots! Part Deux,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.4411764705882353, 0.3515299559368778, 0.11512027491408935]"
81,"Hudsucker Proxy, The","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6386363636363637, 0.39662094432581124, 0.1872852233676976]"
82,Jurassic Park,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.6800766283524904, 0.3580008430096751, 0.44673539518900346]"
83,Much Ado About Nothing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.765625, 0.3074230449582929, 0.3006872852233677]"
84,Robert A. Heinlein's The Puppet Masters,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.0, 0.5, 0.36380343755449945, 0.029209621993127148]"
85,"Ref, The","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5086206896551724, 0.3744324198351332, 0.0979381443298969]"
86,"Remains of the Day, The","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.735, 0.34812537277220285, 0.25601374570446733]"
87,Searching for Bobby Fischer,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7264492753623188, 0.33605613332219914, 0.23539518900343642]"
88,Sleepless in Seattle,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6349765258215962, 0.35762482822177205, 0.3642611683848797]"
89,Blade Runner,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.7845454545454544, 0.32020543339443064, 0.47079037800687284]"
90,So I Married an Axe Murderer,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.0, 0.5131578947368421, 0.38718989325374953, 0.16151202749140894]"
91,"Nightmare Before Christmas, The","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.6468531468531469, 0.38531282180725457, 0.24398625429553264]"
92,True Romance,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6538461538461539, 0.349436760073286, 0.17697594501718214]"
93,Welcome to the Dollhouse,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6808035714285714, 0.3773121554852993, 0.19072164948453607]"
94,Home Alone,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5218978102189781, 0.3675096351146509, 0.23367697594501718]"
95,Aladdin,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.7031963470319634, 0.32244425671546, 0.3745704467353952]"
96,Terminator 2: Judgment Day,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.0, 0.7516949152542374, 0.34502442526544047, 0.5051546391752577]"
97,Dances with Wolves,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0.6982421875, 0.36917192959777034, 0.4381443298969072]"
98,"Silence of the Lambs, The","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.8224358974358974, 0.2957817048997417, 0.6683848797250859]"
99,Snow White and the Seven Dwarfs,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.6773255813953488, 0.3169955774303974, 0.29381443298969073]"
100,Fargo,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.7888779527559056, 0.34498183603140764, 0.8711340206185567]"
101,Heavy Metal,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0.0, 0.565068493150685, 0.4209257211305631, 0.12371134020618557]"
102,"Aristocats, The","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5324074074074074, 0.3887952867287998, 0.09106529209621994]"
103,All Dogs Go to Heaven 2,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.21666666666666667, 0.32366943748507476, 0.024054982817869414]"
104,Theodore Rex,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.09999999999999998, 0.3162277660168379, 0.006872852233676977]"
105,Sgt. Bilko,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.3918918918918919, 0.34163728002018845, 0.1254295532646048]"
106,Diabolique,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.471830985915493, 0.356316952478748, 0.12027491408934708]"
107,Moll Flanders,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.625, 0.4000762122518109, 0.070446735395189]"
108,Kids in the Hall: Brain Candy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.5192307692307693, 0.3817501448289483, 0.10996563573883161]"
109,Mystery Science Theater 3000: The Movie,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.6076923076923076, 0.3861418723955918, 0.22164948453608246]"
110,Operation Dumbo Drop,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.3790322580645161, 0.39655776945626603, 0.05154639175257732]"
111,"Truth About Cats & Dogs, The","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6213235294117647, 0.3381774848909545, 0.46563573883161513]"
112,Flipper,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.36250000000000004, 0.4364178345528393, 0.03264604810996564]"
113,"Horseman on the Roof, The (Hussard sur le toit, Le)","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7777777777777777, 0.2763853991962833, 0.013745704467353952]"
114,Wallace & Gromit: The Best of Aardman Animation,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.8619402985074627, 0.27026629747590475, 0.1134020618556701]"
115,"Haunted World of Edward D. Wood Jr., The","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6833333333333333, 0.4323248337821479, 0.024054982817869414]"
116,Cold Comfort Farm,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.706, 0.37315135733891014, 0.21305841924398625]"
117,"Rock, The","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.6732804232804233, 0.3466408125401185, 0.647766323024055]"
118,Twister,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.5537542662116041, 0.39117727392849877, 0.5017182130584192]"
119,Maya Lin: A Strong Clear Vision,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.875, 0.3535533905932737, 0.005154639175257732]"
120,Striptease,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.3097014925373134, 0.38968495549729865, 0.1134020618556701]"
121,Independence Day (ID4),"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0.0, 0.6095571095571095, 0.3947720024043208, 0.7353951890034364]"
122,"Cable Guy, The","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.33490566037735847, 0.39305516531770585, 0.18041237113402062]"
123,"Frighteners, The","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.558695652173913, 0.34833701033464515, 0.1958762886597938]"
124,Lone Star,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.7633689839572193, 0.323232622716592, 0.31958762886597936]"
125,Phenomenon,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.639344262295082, 0.34261515539676446, 0.4175257731958763]"
126,"Spitfire Grill, The","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.7010309278350515, 0.3737450364000529, 0.16494845360824742]"
127,"Godfather, The","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.820823244552058, 0.33042279547744235, 0.7079037800687286]"
128,Supercop,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.6346153846153846, 0.3648465167289264, 0.10996563573883161]"
129,Bound,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.0, 0.7054263565891473, 0.33497204991581936, 0.21993127147766323]"
130,Kansas City,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.3152173913043478, 0.45498990129087463, 0.037800687285223365]"
131,Breakfast at Tiffany's,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.6815789473684211, 0.366271122632342, 0.16151202749140894]"
132,"Wizard of Oz, The","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.7693089430894309, 0.33921617356903555, 0.4209621993127148]"
133,Gone with the Wind,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.0, 0.7178362573099415, 0.3768772528400863, 0.2920962199312715]"
134,Citizen Kane,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.8232323232323233, 0.2991210697134369, 0.3384879725085911]"
135,2001: A Space Odyssey,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0.0, 0.7422779922779923, 0.3628542747253786, 0.44329896907216493]"
